Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Credit score,Income
20,female,1,own,rich,little,7786,15,business,good,520,43191
24,male,3,own,NA,none,NA,42,radio/TV,bad,519,29372
22,female,2,free,little,little,4233,24,education,good,690,38069
55,female,1,free,none,none,9486,40,radio/TV,bad,639,36894
46,NA,1,rent,none,moderate,500,15,radio/TV,good,643,49911
33,female,3,own,none,little,500,45,radio/TV,good,634,49674
40,male,1,own,little,moderate,1123,22,education,good,587,53800
NA,male,3,own,rich,none,4114,56,car,bad,668,25369
28,male,3,rent,moderate,little,7304,NA,radio/TV,bad,679,37606
22,male,2,NA,little,none,5058,8,education,good,804,50502
28,male,3,rent,little,none,5831,NA,car,bad,543,44817
20,male,3,free,moderate,moderate,4133,47,business,bad,552,21467
32,male,3,own,moderate,rich,7652,36,NA,bad,660,31023
51,male,3,NA,none,rich,8297,10,business,bad,482,47188
34,female,3,free,rich,none,8403,32,car,good,830,50463
62,male,1,free,little,none,7363,22,furniture/equipment,bad,713,45356
57,male,1,free,none,none,6203,NA,NA,good,610,53215
59,male,1,own,little,none,3633,18,education,good,534,56029
43,female,2,own,little,little,2385,11,car,good,707,58811
65,female,1,own,none,NA,5650,36,education,bad,614,37395
45,male,2,free,little,little,2213,10,radio/TV,good,646,41305
33,male,1,free,little,little,4918,24,NA,good,NA,40546
44,NA,1,own,little,little,5479,55,business,bad,620,29348
44,female,2,free,moderate,moderate,4070,18,furniture/equipment,good,716,25047
32,female,3,own,moderate,little,NA,45,furniture/equipment,bad,581,32048
57,male,3,NA,NA,NA,5276,NA,radio/TV,bad,605,36988
43,male,3,own,moderate,none,9353,46,education,bad,688,58869
36,female,3,own,NA,none,7616,NA,furniture/equipment,good,579,51996
33,female,3,rent,little,moderate,7364,55,car,bad,800,30372
57,male,3,own,none,rich,3015,10,education,good,602,48439
34,male,1,rent,little,none,2989,52,education,good,779,46972
27,female,2,own,none,NA,9390,45,furniture/equipment,bad,NA,NA
63,male,3,rent,moderate,rich,5012,18,car,good,699,58957
23,female,1,rent,little,little,5270,NA,radio/TV,bad,524,34351
56,female,1,rent,little,moderate,3618,25,education,good,718,51180
39,female,2,free,rich,moderate,8140,59,radio/TV,bad,765,10000
41,male,NA,free,little,none,3390,50,furniture/equipment,good,531,45651
34,male,3,free,moderate,moderate,4714,21,education,good,742,34845
30,male,1,free,none,none,5902,51,furniture/equipment,bad,547,NA
40,male,3,free,moderate,moderate,11017,NA,car,bad,563,18957
65,female,1,NA,NA,none,7605,NA,education,good,686,30236
30,male,2,free,moderate,moderate,3160,14,radio/TV,bad,NA,35416
46,male,1,rent,none,moderate,7948,33,business,good,543,27558
38,female,3,rent,none,rich,1288,27,car,bad,624,NA
43,female,1,rent,moderate,little,4243,41,car,good,691,19139
30,male,2,free,none,moderate,6883,29,NA,bad,665,56589
53,female,3,free,moderate,none,9334,60,education,bad,NA,34929
50,NA,2,free,none,moderate,8017,13,radio/TV,good,730,43029
NA,female,3,own,rich,rich,4790,29,furniture/equipment,bad,578,47018
54,male,2,own,NA,NA,4708,40,business,good,820,36954
40,female,1,rent,none,rich,NA,30,business,good,730,45944
57,male,1,free,none,rich,2219,52,furniture/equipment,good,701,42124
51,female,2,own,rich,moderate,7042,13,business,good,730,36344
43,female,3,rent,none,little,7136,51,furniture/equipment,bad,562,35316
32,female,1,free,little,rich,7568,60,education,bad,593,38709
50,female,1,rent,none,NA,5679,37,business,good,669,55395
50,female,3,free,little,moderate,9846,58,furniture/equipment,bad,557,41874
43,male,NA,own,moderate,moderate,11551,32,furniture/equipment,bad,642,37421
29,male,1,own,little,little,7202,20,business,good,733,40063
48,female,3,own,NA,rich,7248,47,radio/TV,bad,572,42406
39,female,2,free,moderate,moderate,8858,10,radio/TV,bad,NA,32772
37,NA,3,rent,rich,none,6411,47,education,good,591,50489
61,female,3,free,little,NA,9094,21,radio/TV,bad,504,36303
27,male,3,rent,moderate,little,9275,42,radio/TV,bad,499,18264
51,female,NA,own,NA,none,8775,40,NA,good,776,41640
59,male,3,own,moderate,moderate,12344,NA,NA,bad,635,36296
46,male,1,rent,rich,moderate,5074,9,car,good,823,41528
34,female,3,rent,none,little,7157,NA,car,bad,633,NA
34,female,3,free,rich,moderate,5489,35,education,good,702,NA
61,male,2,rent,rich,none,5597,26,education,bad,547,17709
53,male,2,rent,little,none,11234,46,radio/TV,good,686,41010
60,male,2,rent,none,none,7780,20,education,good,535,37701
64,male,1,rent,rich,rich,3546,NA,radio/TV,good,762,59827
54,female,1,free,rich,none,NA,22,education,good,680,61963
34,male,2,free,moderate,little,1476,44,education,bad,NA,36461
42,male,2,own,NA,rich,9704,40,education,bad,701,42352
NA,male,NA,own,little,rich,4846,NA,education,bad,674,61852
56,female,3,free,none,none,5609,22,education,good,503,49162
54,female,2,own,rich,none,5709,21,NA,bad,580,23015
30,NA,2,rent,none,none,5959,42,furniture/equipment,good,816,57965
38,female,3,rent,moderate,none,5856,17,furniture/equipment,good,634,27757
36,male,3,free,none,moderate,8716,32,radio/TV,bad,519,31791
43,male,1,free,rich,NA,5110,15,education,bad,590,17896
23,female,1,own,rich,none,4534,30,education,bad,607,38256
65,male,3,free,rich,rich,6028,56,furniture/equipment,bad,481,56836
59,female,2,free,moderate,moderate,7650,51,business,bad,481,38086
37,male,NA,rent,rich,little,500,20,radio/TV,good,641,49581
46,male,NA,free,little,moderate,1619,26,furniture/equipment,good,619,48335
NA,female,2,own,rich,little,500,25,furniture/equipment,good,666,30053
26,female,3,rent,none,moderate,NA,52,NA,bad,652,26768
48,male,1,free,moderate,rich,5733,26,business,bad,490,34401
21,female,2,free,NA,moderate,3041,58,NA,bad,705,NA
24,female,2,free,rich,rich,5622,42,education,good,NA,52091
64,male,2,own,little,little,3019,28,business,good,NA,31334
53,female,3,rent,little,none,10665,44,education,bad,614,37888
47,male,2,rent,moderate,moderate,7585,28,education,good,593,55067
34,male,2,rent,rich,none,10235,44,car,good,615,NA
40,male,1,rent,none,rich,7212,42,furniture/equipment,bad,NA,34530
33,female,3,own,moderate,NA,6131,34,car,bad,529,42067
58,female,1,free,moderate,little,4682,32,radio/TV,good,749,49624
28,male,NA,own,rich,none,12590,22,car,bad,625,42073
40,female,2,own,rich,NA,3045,19,radio/TV,good,697,33432
44,female,1,own,rich,little,6045,34,furniture/equipment,bad,600,28961
37,female,2,own,rich,none,4118,48,radio/TV,bad,487,22226
41,female,3,rent,none,little,9201,38,radio/TV,good,570,35251
51,male,1,free,none,little,3628,17,radio/TV,good,830,70618
40,male,2,own,little,none,10320,35,business,bad,743,35901
50,male,3,rent,little,little,14299,14,furniture/equipment,bad,662,27131
61,male,3,rent,none,rich,1788,40,furniture/equipment,good,698,46189
30,male,3,own,rich,rich,3038,26,car,good,694,49767
47,female,3,free,none,moderate,6735,NA,education,good,NA,66067
35,female,3,own,little,rich,8351,46,education,good,664,61444
49,male,2,NA,NA,rich,6214,50,furniture/equipment,good,530,51148
32,male,3,own,moderate,moderate,820,34,furniture/equipment,good,644,57184
43,male,NA,own,little,moderate,NA,29,radio/TV,bad,540,37128
21,female,3,NA,rich,little,9745,24,education,bad,422,12935
55,male,NA,rent,rich,little,7029,25,business,bad,NA,27153
42,NA,3,rent,none,moderate,9586,37,radio/TV,bad,638,46355
29,male,3,free,little,none,8905,25,education,bad,451,10000
35,male,3,free,NA,rich,3320,13,car,good,613,62522
64,female,2,free,little,NA,3883,47,furniture/equipment,bad,680,45732
52,male,2,rent,NA,moderate,7824,49,education,good,819,49351
49,male,3,free,none,NA,6056,30,radio/TV,bad,NA,56543
40,female,1,free,little,none,12079,14,furniture/equipment,bad,630,NA
NA,male,3,rent,moderate,none,6840,29,furniture/equipment,bad,491,37446
24,female,2,free,rich,moderate,5217,30,radio/TV,good,725,56534
34,female,3,NA,none,NA,3523,48,business,good,715,37180
43,male,1,rent,moderate,moderate,5322,21,radio/TV,bad,533,10000
57,female,2,rent,rich,none,5158,48,radio/TV,bad,617,NA
28,male,3,free,NA,none,5538,55,furniture/equipment,bad,NA,34385
55,female,2,NA,moderate,moderate,NA,42,furniture/equipment,bad,636,23715
NA,male,3,own,none,moderate,12159,NA,furniture/equipment,bad,762,39698
47,male,3,free,none,little,7845,52,radio/TV,bad,579,28823
30,female,2,rent,rich,rich,5653,35,radio/TV,good,645,35697
NA,NA,2,own,rich,rich,2603,17,radio/TV,bad,473,46269
49,male,1,rent,moderate,little,3248,42,business,good,705,NA
58,female,1,rent,moderate,NA,8759,56,NA,bad,NA,43739
48,male,NA,own,rich,moderate,5592,58,education,bad,645,57864
43,female,1,NA,moderate,moderate,7727,25,education,good,643,31803
22,female,2,own,NA,moderate,1267,NA,radio/TV,bad,729,32858
24,female,3,free,none,rich,6118,38,radio/TV,good,742,61066
37,male,2,NA,moderate,none,6690,NA,radio/TV,bad,518,24277
24,male,1,own,rich,rich,957,38,car,good,634,52232
64,female,1,own,rich,rich,NA,10,furniture/equipment,bad,513,63712
64,male,3,free,little,NA,5548,44,education,good,NA,57148
44,female,3,free,little,little,3499,51,radio/TV,bad,498,27471
30,female,2,own,moderate,little,NA,54,business,bad,520,22538
NA,male,NA,own,none,moderate,6242,16,car,good,711,21340
53,male,3,rent,little,moderate,6459,44,furniture/equipment,good,808,36351
57,female,1,rent,rich,little,8080,44,business,bad,690,27491
58,male,2,own,little,rich,7787,NA,business,bad,500,27411
63,male,3,rent,moderate,rich,4691,19,business,good,751,60978
41,male,1,own,rich,moderate,7861,39,furniture/equipment,bad,441,23559
31,female,1,own,moderate,none,12864,NA,business,bad,535,46535
30,male,3,rent,rich,moderate,1060,26,business,good,574,42513
57,female,1,free,rich,little,6483,52,education,bad,520,29750
23,female,2,free,little,moderate,5591,43,car,good,NA,54737
58,female,2,rent,little,none,10057,44,car,bad,637,46355
22,male,NA,NA,moderate,NA,5751,20,radio/TV,good,NA,70000
23,male,2,own,none,moderate,9669,37,business,bad,622,46032
65,female,3,own,NA,rich,9709,16,radio/TV,bad,664,37222
26,male,1,free,none,moderate,12605,45,car,bad,545,33722
45,NA,1,own,moderate,none,NA,31,furniture/equipment,bad,515,35406
34,male,2,free,little,rich,2219,30,furniture/equipment,good,631,25437
47,male,2,free,little,little,4100,28,furniture/equipment,good,778,63161
53,female,1,free,little,moderate,NA,34,furniture/equipment,bad,630,24409
52,female,2,free,moderate,rich,10679,26,car,bad,671,NA
63,female,2,rent,moderate,moderate,3119,53,education,good,755,29016
55,female,1,own,none,moderate,NA,NA,car,good,616,48847
59,NA,2,rent,little,moderate,6232,NA,education,bad,500,38999
55,male,1,free,rich,moderate,10153,41,education,bad,544,45877
36,male,2,rent,moderate,none,6162,56,education,bad,479,43699
57,male,3,free,rich,NA,5508,24,education,good,NA,30491
30,female,3,rent,little,rich,4120,NA,education,bad,689,39752
31,male,2,rent,little,little,NA,54,furniture/equipment,good,670,40857
48,female,1,rent,NA,none,NA,15,education,good,731,64243
59,female,2,own,NA,moderate,7819,39,furniture/equipment,bad,656,26895
48,male,3,own,little,little,11164,15,NA,bad,NA,26530
28,male,3,rent,moderate,rich,3332,11,education,good,735,46803
58,female,2,free,rich,none,7887,41,education,good,620,51027
48,female,3,free,rich,moderate,7783,54,NA,good,718,44943
50,male,NA,own,rich,rich,NA,54,business,good,NA,33270
27,female,3,rent,rich,moderate,6546,17,furniture/equipment,good,779,48717
56,female,3,own,moderate,little,5974,27,car,good,554,27810
59,NA,3,own,moderate,moderate,3411,60,NA,bad,591,26704
42,female,1,own,rich,none,7044,51,education,good,586,28952
48,male,2,rent,little,rich,4527,27,business,good,728,NA
39,female,3,own,none,moderate,5273,48,car,bad,665,23833
59,NA,2,rent,none,rich,2540,33,business,good,805,NA
26,female,3,own,moderate,rich,12697,50,business,bad,511,12899
47,female,2,free,little,none,4351,NA,radio/TV,good,765,39551
40,male,3,own,moderate,moderate,6435,14,education,good,787,35053
51,female,2,own,moderate,none,7776,17,car,bad,318,NA
NA,female,3,free,NA,none,7350,38,radio/TV,bad,648,10000
32,male,1,own,none,none,6741,9,car,good,649,41909
27,female,1,rent,rich,rich,9195,22,business,bad,763,10000
20,male,3,rent,little,little,500,21,furniture/equipment,good,775,40078
28,male,1,own,rich,none,NA,19,NA,bad,612,20278
57,male,1,rent,NA,moderate,10148,12,education,good,NA,34262
52,male,1,NA,none,moderate,7437,32,education,bad,NA,39364
65,female,3,NA,rich,rich,7007,NA,education,good,709,39491
44,female,2,free,NA,moderate,2144,44,education,good,739,51375
30,female,NA,free,moderate,rich,5341,27,radio/TV,bad,667,10000
39,female,1,own,little,none,8752,28,education,bad,NA,36314
44,female,2,rent,little,little,6282,17,furniture/equipment,good,753,39825
57,female,3,own,moderate,little,5323,22,car,bad,720,20871
52,male,1,own,little,none,5026,38,car,bad,564,43361
45,male,1,free,none,NA,3617,35,education,good,608,41125
41,female,3,free,none,rich,9329,14,education,good,643,45636
49,female,3,rent,rich,little,5328,28,car,good,721,41955
39,male,3,free,none,none,5134,19,furniture/equipment,bad,638,39129
24,female,1,own,moderate,none,7027,14,radio/TV,bad,551,35166
63,male,1,free,none,little,6161,28,NA,good,825,NA
51,female,3,own,little,rich,6366,17,radio/TV,bad,638,14024
30,male,NA,free,rich,rich,7538,47,business,bad,645,36464
44,female,3,rent,none,rich,6002,49,business,good,NA,33773
32,NA,1,rent,none,rich,5121,35,business,good,779,38841
34,NA,3,own,little,rich,5980,41,business,good,794,39321
28,male,1,NA,none,none,4410,19,car,good,767,41955
65,female,1,free,moderate,moderate,8966,37,education,bad,NA,50479
29,male,3,rent,none,rich,2660,39,business,bad,598,20546
65,female,NA,free,rich,none,4694,25,furniture/equipment,good,578,39422
51,male,2,free,none,little,6976,NA,car,bad,413,54601
46,female,3,rent,little,none,4621,49,business,good,544,NA
39,female,3,own,little,moderate,1442,54,education,good,631,NA
35,male,1,own,little,moderate,8006,19,furniture/equipment,bad,680,32839
62,female,1,rent,little,moderate,NA,NA,radio/TV,good,719,52364
65,female,1,own,none,little,4535,NA,education,good,725,27155
34,female,2,free,moderate,moderate,4263,11,radio/TV,good,813,18959
50,female,1,rent,none,rich,8359,48,education,good,591,20718
48,male,1,rent,little,moderate,5984,46,business,good,632,25782
30,female,2,rent,moderate,none,7800,42,NA,bad,733,34557
26,female,1,rent,NA,moderate,8993,41,education,good,677,52082
29,female,NA,rent,moderate,moderate,2573,29,NA,good,700,25502
49,male,1,NA,moderate,rich,6482,29,education,bad,537,22788
46,male,3,own,rich,little,9355,44,car,bad,469,32166
57,male,2,rent,moderate,none,8951,26,furniture/equipment,bad,545,18801
33,female,2,NA,moderate,moderate,6770,49,radio/TV,good,703,32182
36,male,1,own,rich,rich,3834,12,NA,good,774,NA
26,male,1,own,moderate,none,10510,32,education,good,632,40257
53,female,NA,own,NA,rich,8827,36,education,bad,600,20511
21,male,NA,free,little,little,4995,42,car,bad,624,NA
33,male,2,own,moderate,none,12260,31,car,bad,595,30132
24,NA,1,free,little,little,6661,36,radio/TV,good,634,44555
49,female,2,NA,moderate,moderate,4654,37,NA,good,785,43649
60,male,3,free,NA,none,5854,10,car,good,775,41753
50,female,1,rent,moderate,little,6428,39,education,good,850,NA
45,male,3,free,little,moderate,8007,37,NA,good,651,35423
37,male,3,free,none,none,5165,NA,car,bad,617,19663
60,male,3,NA,NA,little,9363,22,education,bad,568,33614
53,female,1,rent,little,rich,5546,27,radio/TV,good,608,43108
30,female,1,own,none,rich,NA,NA,business,good,617,28542
28,male,NA,free,rich,moderate,8496,17,car,bad,478,21390
45,male,3,free,none,rich,3229,10,furniture/equipment,good,656,68827
53,female,2,free,none,moderate,8851,23,car,good,606,39139
38,NA,3,free,none,rich,NA,52,furniture/equipment,bad,NA,44065
50,male,2,rent,little,none,6288,41,business,bad,625,43636
51,male,1,own,little,none,9428,52,radio/TV,bad,721,50277
61,male,3,rent,little,little,5412,55,radio/TV,bad,419,54548
31,female,3,own,none,none,NA,38,furniture/equipment,bad,646,69532
45,male,3,free,moderate,none,9579,NA,radio/TV,bad,635,31411
63,female,3,free,none,NA,7013,25,car,good,606,NA
64,male,3,rent,NA,none,6660,19,car,bad,454,45175
20,female,3,own,moderate,none,5206,38,furniture/equipment,good,850,26816
57,male,NA,own,none,rich,5871,52,car,bad,594,NA
27,female,1,rent,little,rich,NA,24,radio/TV,good,NA,39003
39,male,3,rent,moderate,little,8207,NA,furniture/equipment,bad,711,34563
39,male,2,rent,none,little,9089,26,furniture/equipment,bad,665,47097
31,female,3,NA,rich,none,4367,51,furniture/equipment,bad,691,NA
38,female,1,free,moderate,little,2346,38,furniture/equipment,bad,558,23941
47,male,2,NA,none,little,6805,43,radio/TV,bad,616,31241
49,male,3,free,none,little,6060,42,business,bad,786,18548
26,male,3,own,rich,none,4599,13,car,good,626,61184
26,male,2,free,rich,NA,6997,30,radio/TV,good,NA,26306
47,NA,1,rent,NA,rich,2071,48,car,good,650,31813
27,female,2,rent,moderate,moderate,3045,26,radio/TV,bad,475,34328
32,female,2,rent,moderate,moderate,2274,36,education,bad,592,24505
31,female,3,free,none,NA,10022,26,education,bad,790,57183
27,male,1,free,rich,moderate,7905,34,radio/TV,bad,563,17497
36,male,2,free,little,NA,3502,54,furniture/equipment,good,665,50360
45,male,2,free,none,little,5310,21,business,good,782,30264
29,male,1,free,NA,rich,7083,21,car,bad,300,22171
36,male,1,free,none,little,8221,37,education,bad,677,52903
48,male,2,own,NA,little,8330,38,radio/TV,good,640,34129
20,male,3,free,none,NA,7301,53,furniture/equipment,bad,534,50508
53,male,NA,NA,moderate,little,8358,14,education,bad,576,63151
27,male,NA,own,none,little,NA,41,education,bad,405,19611
47,male,NA,own,little,NA,9327,18,radio/TV,bad,718,50102
28,female,1,own,little,NA,2927,45,business,good,499,49680
56,male,1,rent,moderate,little,7708,23,furniture/equipment,good,728,33021
39,female,1,own,rich,NA,7914,25,radio/TV,bad,617,36714
NA,female,2,free,NA,little,8215,17,business,bad,NA,14688
35,male,2,free,none,rich,NA,40,business,good,632,46131
25,female,3,rent,none,none,4315,20,car,good,631,59180
47,male,2,free,none,little,8472,NA,radio/TV,bad,490,41663
NA,male,1,rent,moderate,none,5905,58,education,bad,484,46259
64,male,3,own,moderate,little,8304,43,radio/TV,bad,613,37230
53,female,2,own,little,moderate,3386,13,radio/TV,bad,631,15093
33,female,3,free,moderate,NA,4865,13,furniture/equipment,bad,NA,29377
24,NA,3,free,moderate,rich,5392,13,education,bad,717,42855
28,male,1,rent,none,none,3910,34,car,good,600,56704
29,male,1,free,moderate,little,7395,NA,education,good,683,28965
33,female,1,own,none,rich,4652,20,business,bad,565,NA
49,female,2,rent,little,NA,3342,19,NA,good,663,49686
50,female,3,free,little,none,5009,10,NA,good,632,66351
61,male,3,free,moderate,little,2656,50,education,good,638,NA
50,male,1,rent,rich,little,4551,NA,radio/TV,good,707,43848
46,female,2,NA,moderate,NA,2836,46,business,bad,717,38186
25,female,3,rent,moderate,rich,2245,20,education,good,767,52903
NA,female,1,free,moderate,NA,500,13,furniture/equipment,good,633,46672
NA,male,2,own,moderate,none,7165,11,education,good,449,70527
40,female,NA,own,moderate,rich,3628,41,radio/TV,good,641,40487
54,female,1,rent,none,moderate,10796,26,furniture/equipment,bad,NA,39635
24,female,NA,rent,NA,little,1108,54,furniture/equipment,bad,563,29410
43,male,1,own,NA,none,7961,10,radio/TV,bad,704,47570
27,male,2,rent,rich,none,1560,NA,education,good,714,44497
27,male,3,free,rich,rich,3712,34,car,good,850,30949
44,NA,3,free,rich,little,9592,53,radio/TV,good,720,48267
57,male,1,rent,NA,none,7841,10,radio/TV,bad,467,32954
40,male,2,NA,moderate,rich,3047,18,radio/TV,bad,630,40631
44,female,1,own,none,NA,8094,35,car,bad,439,40756
51,female,2,own,none,moderate,6067,40,furniture/equipment,bad,710,33285
26,male,3,free,moderate,little,5128,51,radio/TV,bad,NA,41266
58,male,1,own,moderate,none,10285,36,education,bad,567,33448
54,female,NA,NA,NA,little,5845,8,radio/TV,good,NA,70567
50,male,1,own,rich,none,6628,60,furniture/equipment,bad,689,58358
50,female,NA,free,moderate,moderate,6988,9,furniture/equipment,good,701,36310
42,female,1,NA,NA,rich,5602,49,education,good,NA,35048
37,male,2,rent,NA,none,3515,54,NA,bad,602,28738
33,female,3,rent,little,none,4619,24,radio/TV,bad,528,46816
60,female,3,own,moderate,none,4525,19,NA,good,850,33451
59,male,3,rent,rich,little,NA,25,education,bad,479,31224
33,female,2,rent,rich,rich,7159,37,car,bad,531,35199
25,female,2,own,rich,rich,3269,53,education,bad,506,25038
60,male,2,free,none,none,2440,37,car,bad,487,38966
64,male,1,rent,little,none,2892,51,NA,bad,553,48945
37,female,3,rent,NA,moderate,NA,51,business,good,690,35246
45,female,3,NA,none,moderate,6725,44,radio/TV,bad,502,30050
60,female,1,rent,little,none,5980,37,furniture/equipment,good,478,42429
27,male,1,rent,little,rich,4000,30,car,good,704,39029
NA,male,NA,own,little,none,11304,49,education,bad,491,36679
42,male,NA,NA,rich,moderate,2300,36,education,good,599,40903
NA,female,3,rent,none,none,3074,24,education,bad,608,36848
37,male,2,free,rich,moderate,1469,23,business,bad,729,30705
45,female,2,own,none,none,6064,60,business,bad,619,23194
30,female,3,rent,none,rich,1558,37,radio/TV,good,602,63690
44,female,3,own,rich,rich,6454,53,education,bad,611,11809
32,male,2,rent,moderate,none,9230,21,business,good,776,41642
51,male,3,rent,little,little,9097,14,education,bad,564,19496
23,male,3,rent,moderate,NA,3241,50,furniture/equipment,bad,500,36486
49,male,NA,own,NA,NA,5947,18,car,bad,496,50887
59,male,1,free,moderate,NA,8851,21,radio/TV,bad,749,36137
34,male,1,rent,rich,rich,5261,22,furniture/equipment,good,818,68338
51,NA,1,rent,moderate,rich,7354,23,business,good,590,35804
48,female,1,own,moderate,rich,2814,42,NA,good,526,40594
44,male,2,free,NA,little,7346,NA,education,bad,800,36637
25,female,3,own,NA,rich,7903,NA,car,bad,666,27693
29,male,2,own,NA,none,5628,12,car,good,518,30691
31,NA,2,free,little,none,10600,41,business,good,724,31346
41,female,2,rent,little,little,11478,17,business,good,745,31541
27,female,2,rent,none,rich,7925,14,car,good,850,30607
55,NA,2,rent,moderate,moderate,NA,12,NA,good,698,53063
29,male,3,rent,none,little,3243,41,NA,good,399,33364
23,male,1,own,rich,none,6259,46,furniture/equipment,good,772,37091
38,male,3,own,little,moderate,7153,29,car,good,828,43352
59,female,3,free,NA,little,8347,51,education,bad,648,35815
NA,male,1,free,rich,little,4002,40,radio/TV,good,708,58935
50,female,2,own,little,rich,11555,45,car,bad,785,27009
53,NA,2,rent,none,rich,6606,19,business,good,514,NA
63,male,3,rent,none,NA,1543,36,furniture/equipment,good,662,14244
48,male,1,own,little,NA,5162,48,business,good,801,38072
46,female,1,own,none,little,3332,38,education,bad,681,33672
65,female,2,rent,moderate,none,7728,42,radio/TV,bad,800,25260
31,male,2,free,none,rich,6048,25,radio/TV,good,NA,53581
44,male,1,free,moderate,moderate,5521,46,business,good,626,35221
60,female,2,own,rich,moderate,7263,37,education,good,850,43528
30,male,2,free,rich,little,7347,47,education,bad,559,45098
43,male,1,own,NA,rich,4444,35,furniture/equipment,good,598,43306
54,female,2,free,rich,none,10616,46,radio/TV,good,726,52489
54,male,2,free,rich,NA,6409,14,education,bad,599,13069
45,female,1,rent,none,rich,12604,24,NA,bad,414,33973
NA,female,3,rent,little,little,8069,42,radio/TV,good,755,47099
50,female,3,rent,none,little,NA,45,business,bad,507,28062
52,female,2,rent,NA,rich,932,45,car,good,735,29318
32,female,3,free,moderate,moderate,603,42,education,bad,511,NA
52,female,1,rent,little,NA,5006,53,furniture/equipment,bad,357,49549
61,female,2,free,moderate,rich,NA,51,business,good,741,44996
30,female,1,NA,rich,rich,1689,42,car,good,692,50308
22,female,1,free,little,moderate,7848,54,education,good,779,46088
43,female,2,free,moderate,moderate,8046,31,car,good,662,31077
61,female,2,free,moderate,little,5629,31,business,good,686,15356
